Stat	Bonus	Cost	Increase
--------------------------------
1	-15	-93	d3-1
2	-14	-87	d3-1
3	-13	-81	d3-1
4	-12	-75	d3-1
5	-11	-69	d3-1
6	-10	-63	d3-1
7	-9	-57	d3
8	-9	-54	d3
9	-8	-51	d6
10	-8	-49	d6
11	-8	-47	d6
12	-7	-45	d6
13	-7	-43	d6
14	-7	-41	d6
15	-6	-39	d6
16	-6	-37	d6
17	-6	-35	d6
18	-5	-32	d6
19	-5	-31	d10
20	-5	-30	d10
21	-5	-29	d10
22	-5	-28	d10
23	-5	-27	d10
24	-4	-26	d10
25	-4	-25	d10
26	-4	-24	d10
27	-4	-23	d10
28	-4	-22	d10
29	-4	-21	d10
30	-3	-20	d10
31	-3	-19	d10
32	-3	-18	d10
33	-3	-17	d10
34	-3	-16	d10
35	-3	-15	d10
36	-2	-14	d10
37	-2	-13	d10
38	-2	-12	d10
39	-2	-11	d10
40	-2	-10	d10
41	-2	-9	d10
42	-1	-8	d10
43	-1	-7	d10
44	-1	-6	d10
45	-1	-5	d10
46	-1	-4	d10
47	-1	-3	d10
48	0	-2	d10
49	0	-1	d10
50	0	0	d10
51	0	1	d10
52	0	2	d10
53	0	3	d10
54	1	4	d10
55	1	5	d10
56	1	6	d10
57	1	7	d10
58	1	8	d10
59	1	9	d10
60	2	10	d10
61	2	11	d10
62	2	12	d10
63	2	13	d10
64	2	14	d10
65	2	15	d10
66	3	16	d10
67	3	17	d10
68	3	18	d10
69	3	19	d10
70	3	20	d10
71	3	21	d10
72	4	22	d10
73	4	23	d10
74	4	24	d10
75	4	25	d10
76	4	26	d10
77	4	27	d10
78	5	28	d10
79	5	29	d10
80	5	30	d10
81	5	31	d10
82	5	32	d6
83	5	33	d6
84	6	35	d6
85	6	37	d6
86	6	39	d6
87	7	41	d6
88	7	43	d6
89	7	45	d6
90	8	47	d6
91	8	49	d3
92	8	51	d3
93	9	54	d3-1
94	9	57	d3-1
95	10	63	d3-1
96	11	69	d3-1
97	12	75	d3-1
98	13	81	d3-1
99	14	87	d3-1
100	15	93	0
